phase,bench,cl,ch,al,am,ah,wi,wp,wf,wg,area,delay,acc,rej,nodes
P2,sqrt,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,13154.1,90095.32,35,1624,18354
P2,square,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,12712.0,3738.29,55,180,18344
P2,square,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,12691.6,3748.03,61,171,18333
P2,square,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,12705.9,3738.29,50,180,18360
P2,square,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,12691.6,3748.03,61,168,18333
P2,square,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,12691.6,3748.03,61,169,18333
P3,adder,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,762.7,3873.34,15,80,1003
P3,bar,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,2091.6,237.72,4,16,2956
P3,div,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,42845.0,66218.18,45,92,50577
P3,hyp,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,156163.2,374984.44,2,16,214330
P3,log2,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,19546.9,6285.76,19,99,31283
P3,max,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,1893.7,4208.77,66,368,2826
P3,multiplier,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,19687.2,4009.48,44,112,26836
P3,sin,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,3758.6,3016.65,47,573,5177
P3,sqrt,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,13154.1,90095.32,35,1624,18354
P3,square,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,12705.9,3738.29,50,180,18360
